solver,time,file,result
utopia,281.62424087524414,../testfiles/competitions/2011/application/SAT_RACE08/cnf/manol-pipe-f7nidw.cnf.bz2,UNSATISFIABLE
utopia,287.1092731952667,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E02F22.cnf.bz2,SATISFIABLE
utopia,287.6109039783478,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step13.cnf.bz2,UNSATISFIABLE
utopia,287.9762530326843,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf.bz2,SATISFIABLE
utopia,3.111447095870972,../testfiles/competitions/2011/application/SAT11/application/fuhs/AProVE11/AProVE11-02.cnf.bz2,SATISFIABLE
utopia,3.479249954223633,../testfiles/competitions/2011/application/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf.bz2,UNSATISFIABLE
utopia,3.848986148834229,../testfiles/competitions/2011/application/SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-tr.used-as.sat04-321.cnf.bz2,SATISFIABLE
utopia,3.977977991104126,../testfiles/competitions/2011/application/SAT11/application/manthey/traffic/traffic_r_sat.cnf.bz2,SATISFIABLE
utopia,300.82619404792786,../testfiles/competitions/2011/application/SAT07/industrial/fuhs/hard/AProVE07-03.cnf.bz2,UNSATISFIABLE
utopia,32.58720636367798,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.bz2,SATISFIABLE
utopia,32.597195863723755,../testfiles/competitions/2011/application/SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf.bz2,UNSATISFIABLE
utopia,325.63136887550354,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf.bz2,UNSATISFIABLE
utopia,33.71536159515381,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E04F19.cnf.bz2,SATISFIABLE
utopia,33.90167212486267,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf.bz2,SATISFIABLE
utopia,339.7097370624542,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.bz2,UNSATISFIABLE
utopia,349.8011357784271,../testfiles/competitions/2011/application/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf.bz2,UNSATISFIABLE
utopia,35.08434796333313,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf.bz2,UNSATISFIABLE
utopia,367.00733518600464,../testfiles/competitions/2011/application/SAT_RACE06/velev-pipe-o-uns-1.0-7.cnf.bz2,UNSATISFIABLE
utopia,369.1785359382629,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf.bz2,UNSATISFIABLE
utopia,393.5159358978272,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf.bz2,UNSATISFIABLE
utopia,398.9201989173889,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf.bz2,UNSATISFIABLE
utopia,40.17630219459534,../testfiles/competitions/2011/application/SAT11/application/fuhs/AProVE11/AProVE11-07.cnf.bz2,SATISFIABLE
utopia,401.33196902275085,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf.bz2,SATISFIABLE
utopia,406.4364352226257,../testfiles/competitions/2011/application/SAT_RACE08/Q1/SAT_dat.k85.cnf.bz2,SATISFIABLE
utopia,407.7645859718323,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/ACG-15-5p1.cnf.bz2,SATISFIABLE
utopia,412.0374858379364,../testfiles/competitions/2011/application/SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf.bz2,UNSATISFIABLE
utopia,417.88360118865967,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.bz2,UNSATISFIABLE
utopia,431.790766954422,../testfiles/competitions/2011/application/SAT07/industrial/fuhs/medium/AProVE07-21.cnf.bz2,UNSATISFIABLE
utopia,435.77653980255127,../testfiles/competitions/2011/application/SAT02/industrial/goldberg/rand_net/rand_net70-60-10.shuffled.cnf.bz2,UNSATISFIABLE
utopia,455.90949296951294,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf.bz2,UNSATISFIABLE
utopia,456.11923575401306,../testfiles/competitions/2011/application/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf.bz2,UNSATISFIABLE
utopia,46.3940851688385,../testfiles/competitions/2011/application/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf.bz2,SATISFIABLE
utopia,47.34069299697876,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.025-NOTKNOWN.cnf.bz2,UNSATISFIABLE
utopia,5.290668725967407,../testfiles/competitions/2011/application/SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug6_q0.used-as.sat04-725.cnf.bz2,SATISFIABLE
utopia,5.359015941619873,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf.bz2,SATISFIABLE
utopia,5.864967346191406,../testfiles/competitions/2011/application/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf.bz2,SATISFIABLE
utopia,51.90289092063904,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf.bz2,SATISFIABLE
utopia,522.9801106452942,../testfiles/competitions/2011/application/SAT05/industrial/grieu05/vmpc/vmpc_29.renamed-as.sat05-1916.cnf.bz2,SATISFIABLE
